Name;Price;Review;Score;Category;Subcategory;Store;Image;URL;Platform
32 GB MICRO SD CARD (ไมโครเอสดีการ์ด) SANDISK ULTRA SDHC CLASS 10 (SDSQUNR-032G-GN3MN)_6101049626;140;63;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;JIB Computer Group Authorized Store;https://img.jd.co.th/n1/jfs/t16/309/4138359204/36773/8176ec2b/5f8fd0e0Nf9256354.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_12370382.html;JDCentral
Ulanzi MT-17 ขาตั้งกล้อง แบบสามขา ขนาดพกพา Ulanzi MT-17;339;0;0;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Ulanzi Thailand;https://img.jd.co.th/n1/jfs/t1/111/6908102370/39252/ad40674a/609e78f4N3a9c46cf.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_29027126.html;JDCentral
SanDisk Ultra SD Card 32GB Class 10 Speed 120MB/s (SDSDUN4-032G-GN6IN);215;4;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t25/105/4534549158/193649/b1adf0d4/5fcf9c17N763dd2bc.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4676474.html;JDCentral
SanDisk Ultra microSDXC 256GB (SDSQUA4-256G-GN6MN) Max Speed Read 120 MB/s;899;28;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t7/301/7037544/33518/f95204e1/5b229216N53094769.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_216748.html;JDCentral
SanDisk Extreme Pro microSD 64GB ความเร็วอ่าน 170MB/s เขียน 90MB/s (SDSQXCY_064G_GN6MA) เมมโมรี่ แซนดิส สำหรับ Gopro Hero 7;496;10;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Sandisk Shop;https://img.jd.co.th/n1/jfs/t10/287/11352914972/141073/f82e7b8/62332b98N375ce0af.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1963365.html;JDCentral
KEXIN 2pcs 16G 32G 64G Micro SD Card ไมโครเอสดีการ์ด SDHC/SDXC การ์ด TF ความเร็วที่รวดเร็ว;160;140;98;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;KEXIN Official Store;https://img.jd.co.th/n1/jfs/t55/265/1154043677/81724/4165c18/6166a31fN7b577e99.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4014950.html;JDCentral
Kingston 32GB NEW Canvas Select Plus MicroSDHC Class10 100 MB/s Read Memory Card + SD Adapter;139;61;93;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Kingston Authorized Store;https://img.jd.co.th/n1/jfs/t1/111/3841907540/131039/c418d3d0/5fe4626fN84acdfe6.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_2052876.html;JDCentral
64 GB MICRO SDXC CARD (ไมโครเอสดีการ์ด) SANDISK EXTREME PRO CLASS 10 (SDSQXCY_064G_GN6MA)_6103049267 SanDisk 64GB;450;15;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;JIB Computer Group Authorized Store;https://img.jd.co.th/n1/jfs/t31/213/3671710825/231817/96455cde/5f77fcc8Ncf6d41c2.png!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_3694461.html;JDCentral
Adapter DC 12V 1A อแดปเตอร์สำหรับกล้องวงจรปิด ของแท้ Hi-view;120;2;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Hiview Online;https://img.jd.co.th/n1/jfs/t10/108/5036054297/239073/ec35106f/60092e10Nb08599e3.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_5204148.html;JDCentral
EVA กระเป๋ามินิแบบพกพาใส่เหรียญหูฟังสาย USB กระเป๋าสตางค์กระเป๋าหูฟังอุปกรณ์เสริม（จัดส่งคละสี）;22;74;94;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;KNT SHOP;https://img.jd.co.th/n1/jfs/t16/57/3979413617/176382/bb247945/5f73151eN21c44ad4.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_11871112.html;JDCentral
